bike_name,engine_cc,mileage_kmpl,price_lakh,top_speed_kmph,weight_kg,launch_year,rating
Honda SP 0,180,71.5,3.41,103,108,2024,4.6
Honda CB 1,160,69.0,2.91,155,145,2023,4.3
Honda Unicorn 2,200,64.6,1.72,119,131,2015,4.7
Honda CB 3,350,52.9,0.82,114,129,2018,3.9
Honda Shine 4,250,30.2,2.91,163,157,2024,4.6
Honda CB 5,350,33.4,1.8,154,109,2020,3.7
Honda SP 6,160,53.8,2.51,114,148,2018,3.7
Honda Unicorn 7,350,47.0,2.0,110,164,2022,4.6
Honda Shine 8,250,64.1,2.8,136,144,2015,3.9
Honda SP 9,150,31.4,2.46,114,185,2023,3.9
Honda SP 10,160,62.9,3.2,123,182,2022,4.7
Honda Shine 11,180,31.7,2.62,160,156,2020,4.2
Honda Unicorn 12,350,73.1,2.74,151,141,2023,4.5
Honda Unicorn 13,300,35.5,2.84,102,135,2022,4.4
Honda Hornet 14,350,40.6,0.97,106,108,2020,4.1
Honda Unicorn 15,350,31.7,0.79,149,113,2023,4.5
Honda SP 16,110,65.5,1.36,90,137,2020,3.6
Honda Hornet 17,350,71.8,0.92,170,169,2022,4.2
Honda Shine 18,150,65.9,2.55,109,174,2016,3.6
Honda Shine 19,150,70.2,1.03,150,122,2021,4.3
Honda Hornet 20,200,73.6,2.65,159,169,2015,3.8
Honda Hornet 21,150,51.3,2.55,122,160,2021,4.1
Honda Shine 22,125,33.2,3.38,125,147,2016,4.1
Honda SP 23,160,70.9,0.83,126,156,2016,5.0
Honda SP 24,150,74.7,3.26,158,155,2021,3.6
Honda Shine 25,125,49.8,3.46,126,100,2016,4.7
Honda Shine 26,150,55.5,1.25,139,145,2019,3.7
Honda CB 27,160,70.8,1.87,107,181,2022,4.8
Honda Unicorn 28,180,52.8,2.07,102,173,2016,3.6
Honda Unicorn 29,350,37.9,3.3,108,177,2022,3.8
Honda CB 30,150,54.7,2.64,133,138,2017,5.0
Honda Shine 31,250,72.0,2.82,152,146,2016,3.8
Honda CB 32,300,36.4,0.88,129,189,2022,4.3
Honda Hornet 33,200,68.4,1.0,175,111,2016,3.5
Honda CB 34,350,42.8,2.82,135,112,2020,3.8
Honda Shine 35,160,51.1,2.93,155,117,2021,4.2
Honda Shine 36,300,63.3,2.85,148,153,2021,3.6
Honda Hornet 37,125,56.8,3.42,93,139,2017,4.2
Honda CB 38,150,40.7,1.11,152,155,2021,3.5
Honda Hornet 39,160,70.5,3.22,122,175,2016,4.9
Honda Shine 40,350,69.7,0.81,165,166,2024,4.4
Honda SP 41,180,37.2,2.96,144,149,2021,3.9
Honda CB 42,160,44.3,3.04,133,104,2018,3.9
Honda Hornet 43,180,46.4,1.24,177,179,2015,3.6
Honda Hornet 44,200,58.2,1.01,134,175,2022,4.0
Honda Unicorn 45,110,32.1,3.28,178,101,2018,4.7
Honda SP 46,180,44.5,0.94,114,148,2022,4.3
Honda SP 47,250,40.8,0.9,108,111,2021,4.6
Honda CB 48,125,39.1,0.92,155,167,2023,4.8
Honda Unicorn 49,350,59.1,2.31,93,143,2016,4.6
